step,metric_name,value
124160,loss,115.01477766036987
248320,loss,107.11727905273438
372480,loss,101.57069450616837
496640,loss,98.22727465629578
620800,loss,95.61956244707108
744960,loss,93.27161467075348
869120,loss,91.78774440288544
993280,loss,90.65635842084885
1117440,loss,89.45023721456528
1241600,loss,88.39176654815674
1365760,loss,87.4416121840477
1489920,loss,87.10848069190979
1614080,loss,86.3586596250534
1738240,loss,86.04180783033371
1862400,loss,85.54163420200348
1986560,loss,85.06854265928268
2110720,loss,84.72694438695908
2234880,loss,84.57832235097885
2359040,loss,83.9519670009613
2483200,loss,83.72839909791946
2607360,loss,83.36397659778595
2731520,loss,83.3859196305275
2855680,loss,83.10472106933594
2979840,loss,83.28733271360397
3104000,loss,82.68985551595688
3228160,loss,82.38038688898087
3352320,loss,82.72049176692963
3476480,loss,81.92742705345154
3600640,loss,82.12071222066879
3724800,loss,82.23517388105392
3848960,loss,82.07425671815872
3973120,loss,81.84381663799286
4097280,loss,81.96698051691055
4221440,loss,81.78664183616638
4345600,loss,81.8905720114708
4469760,loss,81.4543805718422
4593920,loss,81.47852730751038
4718080,loss,81.03787678480148
4842240,loss,81.55148416757584
4966400,loss,81.24185794591904
5090560,loss,81.28798770904541
5214720,loss,81.29628628492355
5338880,loss,80.86562359333038
5463040,loss,81.1465899348259
5587200,loss,80.7783311009407
5711360,loss,80.99563723802567
5835520,loss,81.06130003929138
5959680,loss,80.74506723880768
6083840,loss,80.87317937612534
6208000,loss,80.95857471227646
6332160,loss,80.99251079559326
6456320,loss,80.42875474691391
6580480,loss,80.81807553768158
6704640,loss,80.43838858604431
6828800,loss,80.44805973768234
6952960,loss,80.65973061323166
7077120,loss,80.53098791837692
7201280,loss,80.40217381715775
7325440,loss,80.42116868495941
7449600,loss,80.54356235265732
7573760,loss,80.520980656147
7697920,loss,80.28952914476395
7822080,loss,80.14445620775223
7946240,loss,79.99444651603699
8070400,loss,80.14924252033234
8194560,loss,80.44045722484589
8318720,loss,80.14744663238525
8442880,loss,80.27904146909714
8567040,loss,80.39257061481476
8691200,loss,80.31864696741104
8815360,loss,80.45756715536118
8939520,loss,80.24110978841782
9063680,loss,80.3210164308548
9187840,loss,80.36469650268555
9312000,loss,80.36529022455215
9436160,loss,80.05460691452026
9560320,loss,80.05297166109085
9684480,loss,80.23321509361267
9808640,loss,80.19730526208878
9932800,loss,80.40433323383331
10056960,loss,79.75725221633911
10181120,loss,80.03127926588058
10305280,loss,79.86703538894653
10429440,loss,79.92275983095169
10553600,loss,80.50865036249161
10677760,loss,80.09895807504654
10801920,loss,80.37455403804779
10926080,loss,80.07036131620407
11050240,loss,79.8154017329216
11174400,loss,80.12940835952759
11298560,loss,80.06562352180481
11422720,loss,80.02235674858093
11546880,loss,80.16769880056381
11671040,loss,79.80378752946854
11795200,loss,79.33723825216293
11919360,loss,79.75596517324448
12043520,loss,79.94560867547989
12167680,loss,80.1082871556282
12291840,loss,79.99226397275925
12416000,loss,79.85329020023346
12540160,loss,80.03340232372284
12664320,loss,79.35901302099228
12788480,loss,80.12106883525848
12912640,loss,79.44442927837372
13036800,loss,79.70591598749161
13160960,loss,79.7858937382698
13285120,loss,79.67660593986511
13409280,loss,80.13990050554276
13533440,loss,79.69398027658463
13657600,loss,79.39082264900208
13781760,loss,79.90818548202515
13905920,loss,80.09584093093872
14030080,loss,79.80310839414597
14154240,loss,79.74077945947647
14278400,loss,79.51494932174683
14402560,loss,79.95509397983551
14526720,loss,79.51272410154343
14650880,loss,79.83099508285522
14775040,loss,79.86755746603012
14899200,loss,79.7295480966568
15000320,loss,65.09276986122131
