step,metric_name,value
124160,loss,0.9368363320827484
248320,loss,0.9383891765028238
372480,loss,0.9369172528386116
496640,loss,0.9331454560160637
620800,loss,0.936689605936408
744960,loss,0.9350063046440482
869120,loss,0.9354276033118367
993280,loss,0.9327405113726854
1117440,loss,0.9312253696843982
1241600,loss,0.9373778654262424
1365760,loss,0.9310949156060815
1489920,loss,0.9317770414054394
1614080,loss,0.9278889838606119
1738240,loss,0.933390905149281
1862400,loss,0.9296840289607644
1986560,loss,0.9265403905883431
2110720,loss,0.9242130080237985
2234880,loss,0.9338276637718081
2359040,loss,0.9205550393089652
2483200,loss,0.9214027831330895
2607360,loss,0.9243755051866174
2731520,loss,0.926834112033248
2855680,loss,0.9243633570149541
2979840,loss,0.9196163676679134
3104000,loss,0.9180709924548864
3228160,loss,0.9198519010096788
3352320,loss,0.9237439129501581
3476480,loss,0.9225814826786518
3600640,loss,0.9182280553504825
3724800,loss,0.9188933605328202
3848960,loss,0.9160154405981302
3973120,loss,0.9209977807477117
4097280,loss,0.9184272941201925
4221440,loss,0.9230831507593393
4345600,loss,0.9146330654621124
4469760,loss,0.9109250819310546
4593920,loss,0.9111219169571996
4718080,loss,0.9132553339004517
4842240,loss,0.907425875775516
4966400,loss,0.9104821672663093
5090560,loss,0.9101121099665761
5214720,loss,0.9101456934586167
5338880,loss,0.9094047760590911
5463040,loss,0.9081693682819605
5587200,loss,0.9095623632892966
5711360,loss,0.9097531354054809
5835520,loss,0.9035945879295468
5959680,loss,0.9100789185613394
6083840,loss,0.9041625689715147
6208000,loss,0.9039204036816955
6332160,loss,0.9085743064060807
6456320,loss,0.9065118134021759
6580480,loss,0.9040618781000376
6704640,loss,0.9045312199741602
6828800,loss,0.9013195373117924
6952960,loss,0.9023703187704086
7077120,loss,0.9055210221558809
7201280,loss,0.9017503624781966
7325440,loss,0.905087779276073
7449600,loss,0.8975449809804559
7573760,loss,0.9009266747161746
7697920,loss,0.9031990161165595
7822080,loss,0.8959091724827886
7946240,loss,0.8954611700028181
8070400,loss,0.8970261085778475
8194560,loss,0.8961785165593028
8318720,loss,0.8953156908974051
8442880,loss,0.8985641188919544
8567040,loss,0.8943473026156425
8691200,loss,0.8915975382551551
8815360,loss,0.8947209473699331
8939520,loss,0.8929117657244205
9063680,loss,0.8931245198473334
9187840,loss,0.8911709394305944
9312000,loss,0.8893950935453176
9436160,loss,0.8907438004389405
9560320,loss,0.8888981798663735
9684480,loss,0.8912838147953153
9808640,loss,0.8926942786201835
9932800,loss,0.8891254905611277
10056960,loss,0.8887318419292569
10181120,loss,0.8901828806847334
10305280,loss,0.8825985454022884
10429440,loss,0.8862229259684682
10553600,loss,0.8870944166556001
10677760,loss,0.884835671633482
10801920,loss,0.885171465575695
10926080,loss,0.8829337162896991
11050240,loss,0.88747363910079
11174400,loss,0.8838853007182479
11298560,loss,0.8823329415172338
11422720,loss,0.8823049012571573
11546880,loss,0.8822168866172433
11671040,loss,0.881745295599103
11795200,loss,0.8814264554530382
11919360,loss,0.8778692847117782
12043520,loss,0.8796174200251698
12167680,loss,0.8809010740369558
12291840,loss,0.8776179263368249
12416000,loss,0.8766289064660668
12540160,loss,0.8783347140997648
12664320,loss,0.8804692439734936
12788480,loss,0.8798294402658939
12912640,loss,0.8782687867060304
13036800,loss,0.8744343854486942
13160960,loss,0.8763795830309391
13285120,loss,0.876110790297389
13409280,loss,0.874554606154561
13533440,loss,0.8734406996518373
13657600,loss,0.8761651618406177
13781760,loss,0.8746446538716555
13905920,loss,0.8737774891778827
14030080,loss,0.8700110707432032
14154240,loss,0.8733977219089866
14278400,loss,0.8743107989430428
14402560,loss,0.8720683930441737
14526720,loss,0.8718111831694841
14650880,loss,0.8686448102816939
14775040,loss,0.869049503467977
14899200,loss,0.8684579404070973
15000320,loss,0.7112915311008692
