step,metric_name,value
124160,loss,127.96738934516907
248320,loss,121.53008532524109
372480,loss,118.74307751655579
496640,loss,116.98455035686493
620800,loss,115.96365451812744
744960,loss,114.88018727302551
869120,loss,114.08843040466309
993280,loss,113.37496769428253
1117440,loss,112.82454681396484
1241600,loss,112.13275182247162
1365760,loss,111.5014967918396
1489920,loss,111.23437356948853
1614080,loss,110.84977209568024
1738240,loss,110.42175447940826
1862400,loss,110.30894553661346
1986560,loss,109.93439781665802
2110720,loss,109.63550233840942
2234880,loss,109.58078241348267
2359040,loss,109.29971480369568
2483200,loss,109.04519510269165
2607360,loss,108.83582139015198
2731520,loss,108.85105383396149
2855680,loss,108.74198615550995
2979840,loss,108.41045129299164
3104000,loss,108.35479462146759
3228160,loss,108.1518611907959
3352320,loss,108.18951189517975
3476480,loss,108.0792338848114
3600640,loss,107.9892395734787
3724800,loss,107.92190980911255
3848960,loss,107.7985291481018
3973120,loss,107.65088713169098
4097280,loss,107.61347222328186
4221440,loss,107.67981040477753
4345600,loss,107.55453991889954
4469760,loss,107.51366436481476
4593920,loss,107.48020815849304
4718080,loss,107.35321485996246
4842240,loss,107.4212030172348
4966400,loss,107.26794922351837
5090560,loss,107.23705315589905
5214720,loss,107.27863335609436
5338880,loss,107.13067841529846
5463040,loss,107.00947260856628
5587200,loss,107.07923328876495
5711360,loss,107.09805810451508
5835520,loss,106.96671974658966
5959680,loss,107.09023201465607
6083840,loss,106.99481534957886
6208000,loss,106.87603747844696
6332160,loss,106.89662194252014
6456320,loss,106.86294257640839
6580480,loss,106.83568322658539
6704640,loss,106.70782124996185
6828800,loss,106.7083945274353
6952960,loss,106.74754655361176
7077120,loss,106.78517854213715
7201280,loss,106.57703697681427
7325440,loss,106.65793704986572
7449600,loss,106.71492576599121
7573760,loss,106.70631790161133
7697920,loss,106.63563179969788
7822080,loss,106.73780870437622
7946240,loss,106.61879563331604
8070400,loss,106.64167308807373
8194560,loss,106.64567768573761
8318720,loss,106.6143468618393
8442880,loss,106.55746698379517
8567040,loss,106.55966830253601
8691200,loss,106.55247962474823
8815360,loss,106.4909553527832
8939520,loss,106.52467143535614
9063680,loss,106.52103734016418
9187840,loss,106.54627096652985
9312000,loss,106.45097374916077
9436160,loss,106.47513103485107
9560320,loss,106.38082098960876
9684480,loss,106.4196902513504
9808640,loss,106.47042226791382
9932800,loss,106.35677337646484
10056960,loss,106.31984508037567
10181120,loss,106.4361001253128
10305280,loss,106.4941337108612
10429440,loss,106.40249001979828
10553600,loss,106.39359211921692
10677760,loss,106.40377986431122
10801920,loss,106.4215521812439
10926080,loss,106.31864833831787
11050240,loss,106.36749386787415
11174400,loss,106.33953320980072
11298560,loss,106.32421839237213
11422720,loss,106.299809217453
11546880,loss,106.37237012386322
11671040,loss,106.34654688835144
11795200,loss,106.27101039886475
11919360,loss,106.33683180809021
12043520,loss,106.30144572257996
12167680,loss,106.21036434173584
12291840,loss,106.3840320110321
12416000,loss,106.26844274997711
12540160,loss,106.26338493824005
12664320,loss,106.32539808750153
12788480,loss,106.31819462776184
12912640,loss,106.30636811256409
13036800,loss,106.25580501556396
13160960,loss,106.29790663719177
13285120,loss,106.27545702457428
13409280,loss,106.28495836257935
13533440,loss,106.23677825927734
13657600,loss,106.21134722232819
13781760,loss,106.20786988735199
13905920,loss,106.21715998649597
14030080,loss,106.22912847995758
14154240,loss,106.23839902877808
14278400,loss,106.22081696987152
14402560,loss,106.25828397274017
14526720,loss,106.17035472393036
14650880,loss,106.2725441455841
14775040,loss,106.18407607078552
14899200,loss,106.26393127441406
15000320,loss,86.49684059619904
