step,metric_name,value
12499200,loss,8354.340183377266
24998400,loss,8014.039290428162
37497600,loss,7983.485647916794
49996800,loss,7971.697104752064
62496000,loss,7953.84787106514
74995200,loss,7949.018141031265
87494400,loss,7938.760365724564
99993600,loss,7933.743021726608
112492800,loss,7928.109905898571
124992000,loss,7920.798530578613
137491200,loss,7910.633007824421
149990400,loss,7908.610312998295
150000640,loss,6.458522975444794
