step,metric_name,value
640,loss,1.4799962043762207
1280,loss,1.2300857305526733
1920,loss,1.171748161315918
2560,loss,1.1719038486480713
3200,loss,1.1334770917892456
3840,loss,1.134059190750122
4480,loss,1.1202702522277832
5120,loss,1.1190307140350342
5760,loss,1.1136754751205444
6400,loss,1.1085796356201172
7040,loss,1.103588342666626
7680,loss,1.0873078107833862
8320,loss,1.0989727973937988
8960,loss,1.1016907691955566
9600,loss,1.1072134971618652
10240,loss,1.0875632762908936
10880,loss,1.0896456241607666
11520,loss,1.0856581926345825
12160,loss,1.075117588043213
12800,loss,1.0734648704528809
13440,loss,1.084062933921814
14080,loss,1.1018720865249634
14720,loss,1.0784494876861572
15360,loss,1.0678340196609497
16000,loss,1.0851399898529053
16640,loss,1.070115566253662
17280,loss,1.0593299865722656
17920,loss,1.0646692514419556
18560,loss,1.0643097162246704
19200,loss,1.0648669004440308
19840,loss,1.063299536705017
20480,loss,1.0703339576721191
21120,loss,1.0619977712631226
21760,loss,1.046326756477356
22400,loss,1.056565761566162
23040,loss,1.0531877279281616
23680,loss,1.0531150102615356
24320,loss,1.052047610282898
24960,loss,1.0480968952178955
25600,loss,1.0415596961975098
26240,loss,1.0491057634353638
26880,loss,1.0433377027511597
27520,loss,1.048067331314087
28160,loss,1.0460995435714722
28800,loss,1.0435432195663452
29440,loss,1.0498425960540771
30080,loss,1.0551975965499878
30720,loss,1.0310782194137573
31360,loss,1.0431462526321411
32000,loss,1.024437665939331
32640,loss,1.0539666414260864
33280,loss,1.0230565071105957
33920,loss,1.0473456382751465
34560,loss,1.0395054817199707
35200,loss,1.043608546257019
35840,loss,1.0575366020202637
36480,loss,1.0257560014724731
37120,loss,1.0147804021835327
37760,loss,1.0141799449920654
38400,loss,1.0370309352874756
39040,loss,1.046653389930725
39680,loss,1.015890121459961
40320,loss,1.0308791399002075
40960,loss,1.0220171213150024
41600,loss,1.0552923679351807
42240,loss,1.015006422996521
42880,loss,1.0128741264343262
43520,loss,1.0125391483306885
44160,loss,1.027048110961914
44800,loss,1.0420761108398438
45440,loss,1.0149391889572144
46080,loss,1.040224313735962
46720,loss,1.0406376123428345
47360,loss,1.0235644578933716
48000,loss,1.0248879194259644
48640,loss,1.0244170427322388
49280,loss,1.0224688053131104
49920,loss,1.0222887992858887
50560,loss,1.0299044847488403
51200,loss,1.0352251529693604
51840,loss,1.0303746461868286
52480,loss,1.0411330461502075
53120,loss,1.029040813446045
53760,loss,1.0287684202194214
54400,loss,1.0059418678283691
55040,loss,1.001084804534912
55680,loss,1.0126452445983887
56320,loss,1.0148663520812988
56960,loss,1.0210590362548828
57600,loss,1.0232133865356445
58240,loss,1.0081305503845215
58880,loss,1.0358432531356812
59520,loss,1.0016791820526123
60160,loss,1.046991229057312
60800,loss,1.0253124237060547
61440,loss,1.0212448835372925
62080,loss,1.027481198310852
62720,loss,0.9869785308837891
63360,loss,1.0382936000823975
64000,loss,1.010385513305664
64640,loss,0.982214629650116
65280,loss,0.9955161213874817
65920,loss,1.023522973060608
66560,loss,1.0114716291427612
67200,loss,0.9903958439826965
67840,loss,1.0333856344223022
68480,loss,1.01318359375
69120,loss,1.000821828842163
69760,loss,1.002352237701416
70400,loss,1.0041539669036865
71040,loss,1.0086028575897217
71680,loss,0.9977359771728516
72320,loss,1.0130600929260254
72960,loss,1.0055828094482422
73600,loss,1.0113890171051025
74240,loss,1.0365118980407715
74880,loss,0.997767984867096
75520,loss,1.0102825164794922
76160,loss,1.0094563961029053
76800,loss,1.0069737434387207
77440,loss,1.027311086654663
78080,loss,1.0094752311706543
78720,loss,0.9897122979164124
79360,loss,1.01998770236969
80000,loss,0.9904484152793884
80640,loss,0.9966526031494141
81280,loss,0.9835556745529175
81920,loss,1.0047069787979126
82560,loss,1.0145623683929443
83200,loss,1.0013091564178467
83840,loss,1.0214157104492188
84480,loss,0.9932196140289307
85120,loss,1.012866497039795
85760,loss,0.9838225841522217
86400,loss,1.0347564220428467
87040,loss,1.0481860637664795
87680,loss,1.0380548238754272
88320,loss,0.9895966053009033
88960,loss,0.9897494912147522
89600,loss,0.9965188503265381
90240,loss,1.0082064867019653
90880,loss,1.0009546279907227
91520,loss,1.017525553703308
92160,loss,0.9731588363647461
92800,loss,1.0086711645126343
93440,loss,1.0038642883300781
94080,loss,1.0044301748275757
94720,loss,1.0082895755767822
95360,loss,0.9873197078704834
96000,loss,1.0188273191452026
96640,loss,0.9976258873939514
97280,loss,1.0080571174621582
97920,loss,1.021835207939148
98560,loss,1.0057451725006104
99200,loss,0.9968615770339966
99840,loss,0.9702701568603516
100480,loss,1.01914644241333
